000053,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,20
000053,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,73
000054,01.12.2018 - 28.02.2019,Новые пользователи,94
000054,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,24
000054,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,110
000055,01.12.2018 - 28.02.2019,Новые пользователи,98
000055,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,28
000055,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,132
000056,01.12.2018 - 28.02.2019,Новые пользователи,126
000056,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,30
000056,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,171
000057,01.12.2018 - 28.02.2019,Новые пользователи,137
000057,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,34
000057,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,182
000058,01.12.2018 - 28.02.2019,Новые пользователи,125
000058,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,24
000058,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,193
000059,01.12.2018 - 28.02.2019,Новые пользователи,146
000059,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,42
000059,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,183
000060,01.12.2018 - 28.02.2019,Новые пользователи,132
000060,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,31
000060,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,165
000061,01.12.2018 - 28.02.2019,Новые пользователи,114
000061,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,27
000061,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,168
000062,01.12.2018 - 28.02.2019,Новые пользователи,138
000062,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,40
000062,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,178
000063,01.12.2018 - 28.02.2019,Новые пользователи,95
000063,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,36
000063,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,113
000064,01.12.2018 - 28.02.2019,Новые пользователи,94
000064,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,24
000064,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,117
000065,01.12.2018 - 28.02.2019,Новые пользователи,73
000065,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,31
000065,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,100
000066,01.12.2018 - 28.02.2019,Новые пользователи,79
000066,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,27
000066,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,90
000067,01.12.2018 - 28.02.2019,Новые пользователи,77
000067,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,39
000067,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,82
000068,01.12.2018 - 28.02.2019,Новые пользователи,70
000068,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,33
000068,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,77
000069,01.12.2018 - 28.02.2019,Новые пользователи,60
000069,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,15
000069,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,83
000070,01.12.2018 - 28.02.2019,Новые пользователи,81
000070,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,22
000070,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,87
000071,01.12.2018 - 28.02.2019,Новые пользователи,71
000071,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,19
000071,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,79
000072,01.12.2018 - 28.02.2019,Новые пользователи,45
000072,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,15
000072,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,55
000073,01.12.2018 - 28.02.2019,Новые пользователи,51
000073,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,13
000073,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,63
000074,01.12.2018 - 28.02.2019,Новые пользователи,62
000074,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,19
000074,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,71
000075,01.12.2018 - 28.02.2019,Новые пользователи,59
000075,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,21
000075,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,72
000076,01.12.2018 - 28.02.2019,Новые пользователи,70
000076,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000076,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,72
000077,01.12.2018 - 28.02.2019,Новые пользователи,88
000077,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,29
000077,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,97
000078,01.12.2018 - 28.02.2019,Новые пользователи,77
000078,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,16
000078,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,102
000079,01.12.2018 - 28.02.2019,Новые пользователи,91
000079,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000079,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,128
000080,01.12.2018 - 28.02.2019,Новые пользователи,92
